noun	suffix	v_trans	v_dyn	v_dur	v_tel	v_post_phase	v_rol_subj	v_rol_obj	v_rol_obq	n_onto	n_relation	n_dyn	n_dur	n_tel	n_post_phase	n_rol_arg1	n_rol_arg2	n_rol_arg3
programmatisation2	ion	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
prolification1	ion	n	y	y	n	n	thm	na	loc	evt	tsp	y	y	n	n	thm	loc	na
prolification2	ion	n	y	y	n	n	thm	na	loc	anm	thm	na	na	na	na	na	na	na
propulsation	ion	y	y	y	n	n	cau	thm	na	evt	tsp	y	y	n	n	thm	cau	na
prototypisation1	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
prototypisation2	ion	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
prototypisation3	ion	y	y	y	y	n	agt	res	na	evt	tsp	y	y	y	n	res	agt	na
putanisation	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
romanticisation	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
rutilation	ion	n	n	y	n	n	pvt	na	na	ppt	tsp	n	na	na	na	pvt	na	na
scannerisation1	ion	y	y	y	y	n	agt	tpc	na	evt	tsp	y	y	y	n	tpc	agt	na
scannerisation2	ion	y	y	y	y	n	agt	tpc	na	art	res	na	na	na	na	na	na	na
scripturisation	ion	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
semestrialisation	ion	y	y	n	y	y	agt	pat	na	evt*sta	tsp	y	n	y	y	pat	agt	na
shoatisation1	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	agt	na
shoatisation2	ion	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
singapourisation1	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
singapourisation2	ion	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
stagiairisation	ion	y	y	n	y	y	agt	pat	na	evt*sta	tsp	y	n	y	y	pat	agt	na
